State,Assembly,Candidate,Party,Votes
Andhra Pradesh,Machilipatnam,PRASADA RAO PEGGEM,Bahujan Samaj Party,"  4,085 "
Andhra Pradesh,Machilipatnam,PARASA SRINIVASA RAO,Independent,"  3,399 "
Andhra Pradesh,Machilipatnam,MOHAMMAD ISHAQ,Independent,"  1,770 "
Andhra Pradesh,Machilipatnam,YUNDURI SUBRAMANYASWARA RAO (MANI),Independent,"  1,597 "
Andhra Pradesh,Machilipatnam,YARLAGADDA RAMA MOHAN RAO,Independent,"  1,405 "
Andhra Pradesh,Machilipatnam,JAMPANA SRINIVASA GOUD,Independent,  931 
Andhra Pradesh,Machilipatnam,None of the Above,None of the Above,"  8,171 "
Andhra Pradesh,Mahabubabad,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,"  320,569 "
Andhra Pradesh,Mahabubabad,P. BALRAM,Indian National Congress,"  285,577 "
Andhra Pradesh,Mahabubabad,BANOTH MOHANLAL,Telugu Desam,"  215,904 "
Andhra Pradesh,Mahabubabad,TELLAM VENKATA RAO,Yuvajana Sramika Rythu Congress Party,"  128,465 "
Andhra Pradesh,Mahabubabad,PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),Independent,"  94,014 "
Andhra Pradesh,Mahabubabad,LAXMAN BUKYA,Independent,"  14,026 "
Andhra Pradesh,Mahabubabad,V. GOURI NAGAMANI,Independent,"  13,664 "
Andhra Pradesh,Mahabubabad,DATLA NAGESHWAR RAO,Independent,"  6,854 "
Andhra Pradesh,Mahabubabad,KAVITHA RANI LUNAVATH,Pyramid Party of India,"  6,627 "
Andhra Pradesh,Mahabubabad,BODA RAASI,Bahujan Samaj Party,"  6,224 "
Andhra Pradesh,Mahabubabad,LAXMINARAYANA BORRA,Independent,"  5,888 "
Andhra Pradesh,Mahabubabad,METLA PAPAIAH,Independent,"  3,922 "
Andhra Pradesh,Mahabubabad,GUGULOTU JAGAN,Marxist Communist Party of India (United),"  3,671 "
Andhra Pradesh,Mahabubabad,PADIGA YARRAIAH,Independent,"  3,492 "
Andhra Pradesh,Mahabubabad,PONAKA SAMMAKKA,Independent,"  3,475 "
Andhra Pradesh,Mahabubabad,BALUNAYAK BHUKYA,Independent,"  3,094 "
Andhra Pradesh,Mahabubabad,EESAM SUDHAKAR,Independent,"  2,199 "
Andhra Pradesh,Mahabubabad,None of the Above,None of the Above,"  6,705 "
Andhra Pradesh,Mahbubnagar,AP JITHENDER REDDY,Telangana Rashtra Samithi,"  334,228 "
Andhra Pradesh,Mahbubnagar,JAIPAL REDDY SUDINI,Indian National Congress,"  331,638 "
Andhra Pradesh,Mahbubnagar,DR. JANARDHAN REDDY NAGAM,Bharatiya Janata Party,"  272,791 "
Andhra Pradesh,Mahbubnagar,S.R.PREMAIAH,Pyramid Party of India,"  30,388 "
Andhra Pradesh,Mahbubnagar,KADIRE KRISHNA,Bahujan Samaj Party,"  15,779 "
Andhra Pradesh,Mahbubnagar,H.A. RAHMAN,Yuvajana Sramika Rythu Congress Party,"  9,105 "
Andhra Pradesh,Mahbubnagar,IBRAHIM SYED,Independent,"  4,549 "
Andhra Pradesh,Mahbubnagar,DR. CHANDRA SEKHAR. A,Independent,"  4,033 "
Andhra Pradesh,Mahbubnagar,S. SHIVA SHANKAR,Independent,"  3,252 "
Andhra Pradesh,Mahbubnagar,None of the Above,None of the Above,"  9,037 "
Andhra Pradesh,Malkajgiri,CH.MALLA REDDY,Telugu Desam,"  523,336 "
Andhra Pradesh,Malkajgiri,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi,"  494,965 "
Andhra Pradesh,Malkajgiri,SARVEY SATHYANARAYANA,Indian National Congress,"  233,711 "
Andhra Pradesh,Malkajgiri,DR.JAYAPRAKASH NARAYAN .N,Lok Satta Party,"  158,243 "
Andhra Pradesh,Malkajgiri,V.DINESH REDDY,Yuvajana Sramika Rythu Congress Party,"  115,170 "
Andhra Pradesh,Malkajgiri,DIVAKAR DHARANIKOTA SUDHAKAR,All India Majlis-E-Ittehadul Muslimeen,"  18,543 "
Andhra Pradesh,Malkajgiri,PROF. K.NAGESHWAR,Independent,"  13,236 "
Andhra Pradesh,Malkajgiri,DR.N.V.SUDHA KIRAN,Aam Aadmi Party,"  8,291 "
Andhra Pradesh,Malkajgiri,JAJULA BHASKAR,Shramajeevi Party,"  8,003 "
Andhra Pradesh,Malkajgiri,KARUNAKAR.R,Bahujan Samaj Party,"  6,133 "
Andhra Pradesh,Malkajgiri,D.BIKSHAPATHI,Independent,"  5,717 "
Andhra Pradesh,Malkajgiri,BANDI SUDHAKAR,Jai Samaikyandhra Party,"  4,094 "
Andhra Pradesh,Malkajgiri,ANJANEYULU.E,Independent,"  2,677 "
Andhra Pradesh,Malkajgiri,KANTE SAYANNA,Independent,"  2,262 "
Andhra Pradesh,Malkajgiri,SURAKANTI VENKAT REDDY,Pyramid Party of India,"  2,049 "
Andhra Pradesh,Malkajgiri,DASARI BHARATH REDDY,Independent,"  1,696 "
Andhra Pradesh,Malkajgiri,KOYALKAR BHOJ RAJ,Independent,"  1,546 "
Andhra Pradesh,Malkajgiri,GAJABINKAR BANSILAL,Independent,"  1,416 "
Andhra Pradesh,Malkajgiri,MURARI.T.N,Shivsena,"  1,390 "
Andhra Pradesh,Malkajgiri,PEESARI SATISH REDDY,Independent,"  1,325 "
Andhra Pradesh,Malkajgiri,M.NAGESWARA RAO,Independent,"  1,301 "
Andhra Pradesh,Malkajgiri,VATTIKUTI RAMARAO GOUD,Independent,"  1,032 "
Andhra Pradesh,Malkajgiri,M.T.VARUGHESE,Independent,"  1,026 "
Andhra Pradesh,Malkajgiri,RAHUL PANDIT,Independent,  899 
Andhra Pradesh,Malkajgiri,PADURI SRINIVAS REDDY,Telangana Loksatta Party,  803 
Andhra Pradesh,Malkajgiri,B.VEERA HANUMANTHA REDDY,Independent,  775 
Andhra Pradesh,Malkajgiri,SATHYANARAYANA YAADAV PEDDIBOYINA,B.C.Bharata Desam Party,  597 
Andhra Pradesh,Malkajgiri,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party,  538 
Andhra Pradesh,Malkajgiri,POLISETTY KRISHNA RAO,Independent,  496 
Andhra Pradesh,Malkajgiri,POTTURI TULASI DAS,Independent,  411 
Andhra Pradesh,Malkajgiri,None of the Above,None of the Above,"  8,716 "
Andhra Pradesh,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,"  657,492 "
Andhra Pradesh,Medak,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress,"  260,463 "
Andhra Pradesh,Medak,CHAGANLA NARENDRA NATH,Bharatiya Janata Party,"  181,804 "
Andhra Pradesh,Medak,KUNDETI. RAVI.,Independent,"  33,507 "
Andhra Pradesh,Medak,"PRABHUGOUD, PULLAIAHGARI",Yuvajana Sramika Rythu Congress Party,"  11,752 "
Andhra Pradesh,Medak,KOMPELLI PRABHUDAS,Republican Party of India (A),"  7,599 "
Andhra Pradesh,Medak,Y. SHANKAR GOUD,Bahujan Samaj Party,"  6,643 "
Andhra Pradesh,Medak,IQBAL ALI ZAFAR,Majlis Bachao Tahreek,"  5,010 "
Andhra Pradesh,Medak,MEKA. SUBBA RAO,Independent,"  4,441 "
Andhra Pradesh,Medak,BOMMA BALESHAM,Pyramid Party of India,"  3,297 "
Andhra Pradesh,Medak,GAJABINKAR BANSILAL,Independent,"  3,281 "
Andhra Pradesh,Medak,BALARAJU MITTAPALLY,Independent,"  2,973 "
Andhra Pradesh,Medak,GURJADA BHEERAIAH YADAV,Independent,"  2,053 "
Andhra Pradesh,Medak,None of the Above,None of the Above,"  10,781 "
Andhra Pradesh,Nagarkurnool,YELLAIAH NANDI,Indian National Congress,"  420,075 "
Andhra Pradesh,Nagarkurnool,DR. MANDA JAGANNATH,Telangana Rashtra Samithi,"  403,399 "
Andhra Pradesh,Nagarkurnool,BAKKANI NARSIMLU,Telugu Desam,"  183,352 "
Andhra Pradesh,Nagarkurnool,BUDDULA SRINIVAS,Independent,"  54,680 "
Andhra Pradesh,Nagarkurnool,MAREDU GOPAL,Yuvajana Sramika Rythu Congress Party,"  22,985 "
Andhra Pradesh,Nagarkurnool,BAHADHUR SRINIVAS,Bahujan Samaj Party,"  12,089 "
Andhra Pradesh,Nagarkurnool,None of the Above,None of the Above,"  12,388 "
Andhra Pradesh,Nalgonda,GUTHA SUKHENDER REDDY,Indian National Congress,"  472,093 "
Andhra Pradesh,Nalgonda,TERA CHINNAPA REDDY,Telugu Desam,"  278,937 "
Andhra Pradesh,Nalgonda,DR. PALLA RAJESHWAR REDDY,Telangana Rashtra Samithi,"  260,677 "
Andhra Pradesh,Nalgonda,MARRI NEHEMIAH,Independent,"  56,259 "
Andhra Pradesh,Nalgonda,NANDYALA NARSIMHA REDDY,Communist Party of India (Marxist),"  54,423 "
Andhra Pradesh,Nalgonda,GUNNAM NAGI REDDY,Yuvajana Sramika Rythu Congress Party,"  39,385 "
Andhra Pradesh,Nalgonda,KUNDARAPU RAMESH,Bahujan Samaj Party,"  11,517 "
Andhra Pradesh,Nalgonda,MANUPURI DAYA SAGAR,Pyramid Party of India,"  4,495 "
Andhra Pradesh,Nalgonda,TEJAVATH BELLAIAH NAIK,Aam Aadmi Party,"  2,308 "
Andhra Pradesh,Nalgonda,None of the Above,None of the Above,"  9,305 "
Andhra Pradesh,Nandyal,S.P.Y REDDY,Yuvajana Sramika Rythu Congress Party,"  622,411 "
Andhra Pradesh,Nandyal,N.MD.FAROOK,Telugu Desam,"  516,645 "
Andhra Pradesh,Nandyal,B.Y.RAMAIAH,Indian National Congress,"  16,378 "
Andhra Pradesh,Nandyal,OBULESU THUDUM,Bahujan Samaj Party,"  11,784 "
Andhra Pradesh,Nandyal,NOSSAM MALLIKARJUNA REDDY,Jai Samaikyandhra Party,"  7,189 "
Andhra Pradesh,Nandyal,P.V.N. REDDY,All India Majlis-E-Ittehadul Muslimeen,"  5,598 "
Andhra Pradesh,Nandyal,M RAMANA REDDY,Independent,"  5,400 "
Andhra Pradesh,Nandyal,K.P.KAMBAGIRI SWAMI,Independent,"  2,708 "
Andhra Pradesh,Nandyal,ULLAGI DAVID JAYA KUMAR,Aam Aadmi Party,"  2,499 "
Andhra Pradesh,Nandyal,VANGALA SREENIVASA REDDY,Independent,"  2,437 "
Andhra Pradesh,Nandyal,GADDALA BALASWAMY,Independent,"  1,495 "
Andhra Pradesh,Nandyal,PIDISELA VIJAY KUMAR,Independent,"  1,325 "
Andhra Pradesh,Nandyal,I.V PAKKIRA REDDY,Independent,"  1,036 "
Andhra Pradesh,Nandyal,P.NARENDRA DEV,Independent,  936 
Andhra Pradesh,Nandyal,None of the Above,None of the Above,"  7,115 "
Andhra Pradesh,Narasaraopet,SAMBASIVA RAO RAYAPATI,Telugu Desam,"  632,464 "
Andhra Pradesh,Narasaraopet,AYODHYA RAMIREDDY ALLA,Yuvajana Sramika Rythu Congress Party,"  597,184 "
Andhra Pradesh,Narasaraopet,KONDAPALLI VENKATESWARLU,Indian National Congress,"  22,943 "
Andhra Pradesh,Narasaraopet,AKKI REDDY BHIMANADULA,Pyramid Party of India,"  7,032 "
Andhra Pradesh,Narasaraopet,YELURI SRILATHA,Jai Samaikyandhra Party,"  5,142 "
Andhra Pradesh,Narasaraopet,MEKALA HANUMANTHA RAO YADAV,Bahujan Samaj Party,"  4,911 "
Andhra Pradesh,Narasaraopet,ROSAIAH SIVAPARAPU,Marxist Communist Party of India (United),"  1,877 "
Andhra Pradesh,Narasaraopet,KANUMURI KOTESWARA RAO,Independent,"  1,404 "
Andhra Pradesh,Narasaraopet,PARUVURI RAMESH,Independent,"  1,118 "
Andhra Pradesh,Narasaraopet,RAVU SUBRAHMANYAM,Independent,"  1,025 "
Andhra Pradesh,Narasaraopet,JANGALA SINGARAIAH YADAV,Independent,  973 
Andhra Pradesh,Narasaraopet,None of the Above,None of the Above,"  5,985 "
Andhra Pradesh,Narsapuram,GOKARAJU GANGA RAJU,Bharatiya Janata Party,"  540,306 "
Andhra Pradesh,Narsapuram,VANKA RAVINDRANATH,Yuvajana Sramika Rythu Congress Party,"  454,955 "
Andhra Pradesh,Narsapuram,KANUMURU BAPI RAJU,Indian National Congress,"  27,083 "
Andhra Pradesh,Narsapuram,GITADAS DAS,Prem Janata Dal,"  23,270 "
Andhra Pradesh,Narsapuram,CHINTAPALLI KANAKA RAO,Bahujan Samaj Party,"  8,489 "
Andhra Pradesh,Narsapuram,SAROJA POLASAPALLI,Jai Samaikyandhra Party,"  6,840 "
Andhra Pradesh,Narsapuram,NALLI RAJESH,Republican Paksha (Khoripa),"  6,708 "
Andhra Pradesh,Narsapuram,S.V.P.K.H.G.KRISHNAM RAJU,Pyramid Party of India,"  4,232 "
Andhra Pradesh,Narsapuram,SHIVAJI GOTTUMUKKALA,Independent,"  2,286 "
Andhra Pradesh,Narsapuram,BADAMPUDI SIVA,Independent,"  1,605 "
Andhra Pradesh,Narsapuram,ADDANKI (SEKHAR BABU) DORABABU,Independent,"  1,344 "
Andhra Pradesh,Narsapuram,VOLETI VENKATA LAKSHMANA RAO,Independent,"  1,298 "
Andhra Pradesh,Narsapuram,VANGALAPUDI YASHYAA,Independent,"  1,281 "
Andhra Pradesh,Narsapuram,MEDAPATI VARAHALA REDDY,Independent,"  1,250 "
Andhra Pradesh,Narsapuram,None of the Above,None of the Above,"  8,004 "
Andhra Pradesh,Nellore,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party,"  576,396 "
Andhra Pradesh,Nellore,ADALA PRABHAKARA REDDY,Telugu Desam,"  562,918 "
Andhra Pradesh,Nellore,NARAYANA REDDY VAKATI,Indian National Congress,"  22,870 "
Andhra Pradesh,Nellore,SYED HANEEF,Jai Samaikyandhra Party,"  5,578 "
Andhra Pradesh,Nellore,CHANDRA SEKHAR YADAV,Rajyadhikara Party,"  4,112 "
Andhra Pradesh,Nellore,PATTAPU RAVI,Bahujan Samaj Party,"  3,299 "
Andhra Pradesh,Nellore,CHEMIKALA TIRUPATI,Andhra Rastra Praja Samithi,"  1,424 "
Andhra Pradesh,Nellore,KOLATI GOPINATH,Pyramid Party of India,  999 
Andhra Pradesh,Nellore,MALYADRI RAVULAKOLLU,Independent,  875 
Andhra Pradesh,Nellore,MEDA MALLA REDDY,Independent,  820 
Andhra Pradesh,Nellore,ANANDA RAO SOMPALLI,Independent,  760 
Andhra Pradesh,Nellore,PANDHITI SUBBAIAH,Independent,  736 
Andhra Pradesh,Nellore,MALLI VENKATESWARLU,Independent,  686 
Andhra Pradesh,Nellore,NAVEEN SUKPALLI,Independent,  626 
Andhra Pradesh,Nellore,None of the Above,None of the Above,"  5,549 "
Andhra Pradesh,Nizamabad,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,"  439,307 "
Andhra Pradesh,Nizamabad,MADHU YASKHI GOUD,Indian National Congress,"  272,123 "
Andhra Pradesh,Nizamabad,ENDALA LAKSHMINARAYANA,Bharatiya Janata Party,"  225,333 "
Andhra Pradesh,Nizamabad,MALIK MOHTASIM KHAN,Welfare Party Of India,"  43,814 "
Andhra Pradesh,Nizamabad,BAGWAN B,Independent,"  8,129 "
Andhra Pradesh,Nizamabad,TALARI RAMULU,Bahujan Samaj Party,"  7,421 "
Andhra Pradesh,Nizamabad,ABDUL GANI,B. C. United Front,"  4,791 "
Andhra Pradesh,Nizamabad,KANDEM PRABHAKAR,Independent,"  3,990 "
Andhra Pradesh,Nizamabad,BANJA VEERAPPA,Pyramid Party of India,"  3,651 "
Andhra Pradesh,Nizamabad,SINGAREDDY RAVINDRA REDDY,Yuvajana Sramika Rythu Congress Party,"  3,529 "
Andhra Pradesh,Nizamabad,CHIRULINGADRULA VENKATESHAM,Independent,"  3,091 "
Andhra Pradesh,Nizamabad,S. CHANDRAIAH,Independent,"  2,817 "
Andhra Pradesh,Nizamabad,RAPELLY SRINIVAS,Aam Aadmi Party,"  2,621 "
Andhra Pradesh,Nizamabad,KOTAPATI NARSIMHAM NAIDU,Independent,"  2,462 "
Andhra Pradesh,Nizamabad,SAGAR SUDDALA,Bahujan Mukti Party,"  1,978 "
Andhra Pradesh,Nizamabad,ABDUL KAREEM KHAN (BABU),Independent,"  1,601 "
Andhra Pradesh,Nizamabad,None of the Above,None of the Above,"  7,266 "
Andhra Pradesh,Ongole,Y.V.SUBBA REDDY,Yuvajana Sramika Rythu Congress Party,"  589,960 "
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,Telugu Desam,"  574,302 "
Andhra Pradesh,Ongole,DARISI PAVAN KUMAR,Indian National Congress,"  13,357 "
Andhra Pradesh,Ongole,KRISHNA RAO VEMULA,Bahujan Samaj Party,"  5,863 "
Andhra Pradesh,Ongole,S.S.N.RAJA YADAV,Aam Aadmi Party,"  4,299 "
Andhra Pradesh,Ongole,GOLLAPALLI KISHORE KUMAR REDDY,Jai Samaikyandhra Party,"  3,724 "
Andhra Pradesh,Ongole,KAVURI VENUBABU NAIDU,Independent,"  3,207 "
Andhra Pradesh,Ongole,RADHAKRISHNA SOMISETTY,Independent,"  1,936 "
Andhra Pradesh,Ongole,PAMMI VENKA REDDY,Pyramid Party of India,"  1,387 "
Andhra Pradesh,Ongole,BELLAMKONDA VENKATRAO,Independent,"  1,001 "
Andhra Pradesh,Ongole,CHAPALA VENKATA RAO,Independent,  880 
Andhra Pradesh,Ongole,KIRAN DASARANNA MATTEGUNTA,Independent,  755 
Andhra Pradesh,Ongole,B. BALAJEE RAO,Independent,  657 
Andhra Pradesh,Ongole,PIDAPARTHI MADHUSUDHANA REDDY,Independent,  624 
Andhra Pradesh,Ongole,DAMA MOHAN RAO,Independent,  492 
Andhra Pradesh,Ongole,None of the Above,None of the Above,"  5,781 "
Andhra Pradesh,Peddapalle,BALKA SUMAN,Telangana Rashtra Samithi,"  565,496 "
Andhra Pradesh,Peddapalle,G. VIVEKANAND,Indian National Congress,"  274,338 "
Andhra Pradesh,Peddapalle,DR.JANAPATI SARAT BABU,Telugu Desam,"  63,334 "
Andhra Pradesh,Peddapalle,VELTHURU MALLAIAH,Republican Paksha (Khoripa),"  45,977 "
Andhra Pradesh,Peddapalle,TAGARAM SHANKAR LAL,Bahujan Samaj Party,"  9,449 "
Andhra Pradesh,Peddapalle,KALVALA SHANKAR,Pyramid Party of India,"  9,290 "
Andhra Pradesh,Peddapalle,JINNA RAMADEVI,Independent,"  9,199 "
Andhra Pradesh,Peddapalle,KALVALA SANJEEV,Republican Party of India,"  8,609 "
Andhra Pradesh,Peddapalle,BUPELLI NARAYANA,Independent,"  7,258 "
Andhra Pradesh,Peddapalle,VENKATA SWAMY INJAM,Mahajana Socialist Party,"  3,866 "
Andhra Pradesh,Peddapalle,THALLAPALLI SRINIVAS,Independent,"  3,699 "
Andhra Pradesh,Peddapalle,GADDALA VINAY KUMAR,Independent,"  3,266 "
Andhra Pradesh,Peddapalle,J.V. RAJU,New India Party,"  3,020 "
Andhra Pradesh,Peddapalle,KAMILLA JAYA RAO,Independent,"  2,742 "
Andhra Pradesh,Peddapalle,MOUTAM RAVINDER,Independent,"  2,674 "
Andhra Pradesh,Peddapalle,GORRE RAMESH,Independent,"  2,361 "
Andhra Pradesh,Peddapalle,BOTHA VENKATA MALLAIAH,B. C. United Front,"  2,245 "
Andhra Pradesh,Peddapalle,None of the Above,None of the Above,"  5,361 "
Andhra Pradesh,Rajahmundry,MURALI MOHAN MAGANTI,Telugu Desam,"  630,573 "
Andhra Pradesh,Rajahmundry,BODDU VENKATARAMANA CHOWDARY,Yuvajana Sramika Rythu Congress Party,"  463,139 "
Andhra Pradesh,Rajahmundry,DURGESH KANDULA,Indian National Congress,"  21,243 "
Andhra Pradesh,Rajahmundry,MULLAPUDI SATYANARAYANA,Jai Samaikyandhra Party,"  11,718 "
Andhra Pradesh,Rajahmundry,MARRE BABJI,Bahujan Samaj Party,"  6,079 "
Andhra Pradesh,Rajahmundry,KOLLABATHULA RICHMOND CAREY,Gareeb Aadmi Party,"  5,481 "
Andhra Pradesh,Rajahmundry,ILLA GOVINDA RAJAN,Independent,"  1,390 "
Andhra Pradesh,Rajahmundry,CHEEKATLA VENKATESWARA RAO,Independent,"  1,356 "
Andhra Pradesh,Rajahmundry,SANGISETTI SRINIVASA RAO,Pyramid Party of India,"  1,329 "
Andhra Pradesh,Rajahmundry,MUTYALA RAMBABU,Independent,"  1,282 "
Andhra Pradesh,Rajahmundry,MEDA SRINIVAS,Rashtriya Praja Congress (Secular),  991 
Andhra Pradesh,Rajahmundry,PALLA VENKATA NAIDU(PRADEEP),Independent,  989 
Andhra Pradesh,Rajahmundry,POLU PEDA VENGALA REDDY,Independent,  765 
Andhra Pradesh,Rajahmundry,ANNAMDEVULA DHARMA RAO,Independent,  590 
Andhra Pradesh,Rajahmundry,None of the Above,None of the Above,"  7,456 "
Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,"  601,752 "
Andhra Pradesh,Rajampet,D. PURANDESWARI,Bharatiya Janata Party,"  426,990 "
Andhra Pradesh,Rajampet,G.MUJEEB HUSSAIN,Jai Samaikyandhra Party,"  59,777 "
Andhra Pradesh,Rajampet,ANNAYYAGARI SAI PRATHAP,Indian National Congress,"  29,332 "
Andhra Pradesh,Rajampet,S NARENDRA BABU,Mahajana Socialist Party,"  15,086 "
Andhra Pradesh,Rajampet,VENKATA SUBBAIAH NALLUGARI,Bahujan Samaj Party,"  8,189 "
Andhra Pradesh,Rajampet,N. DEVA,Hindustan Janta Party,"  3,896 "
Andhra Pradesh,Rajampet,V PATTABHI,Independent,"  3,549 "
Andhra Pradesh,Rajampet,SHAIK JEELANI SAHEB,Independent,"  2,630 "
Andhra Pradesh,Rajampet,None of the Above,None of the Above,"  7,116 "
Andhra Pradesh,Secundrabad,BANDARU DATTATREYA,Bharatiya Janata Party,"  438,271 "
Andhra Pradesh,Secundrabad,M.ANJAN KUMAR YADAV,Indian National Congress,"  183,536 "
Andhra Pradesh,Secundrabad,NARLA MOHAN RAO,All India Majlis-E-Ittehadul Muslimeen,"  145,120 "
Andhra Pradesh,Secundrabad,T.BHEEMSEN,Telangana Rashtra Samithi,"  143,847 "
Andhra Pradesh,Secundrabad,SYED SAJID ALI,Yuvajana Sramika Rythu Congress Party,"  45,187 "
Andhra Pradesh,Secundrabad,CHAYA RATAN MUSINIPALLY,Aam Aadmi Party,"  11,184 "
Andhra Pradesh,Secundrabad,K. SRINIVASULU,Jai Samaikyandhra Party,"  3,691 "
Andhra Pradesh,Secundrabad,KHAJA KHALID ANWAR,Bahujan Samaj Party,"  2,863 "
Andhra Pradesh,Secundrabad,K.SAI KRISHNA MOHAN RAO,Indian Christian Secular Party,"  2,603 "
Andhra Pradesh,Secundrabad,B.SUBRAMANYAM,Independent,"  2,481 "
Andhra Pradesh,Secundrabad,SONU SARSAL VALMIKI,Telangana Communist Party of India,"  2,311 "
Andhra Pradesh,Secundrabad,J.RAMULU,Revolutionary Socialist Party,"  2,058 "
Andhra Pradesh,Secundrabad,B.DEEPAK KUMAR,Republican Party of India (Khobragade),"  1,813 "
Andhra Pradesh,Secundrabad,RAGHU DESHABOINA,Bahujan Mukti Party,"  1,496 "
Andhra Pradesh,Secundrabad,AVULA RANGANAYAKULU,Independent,"  1,144 "
Andhra Pradesh,Secundrabad,KLHAJA SIRAJUDDIN AZAZ,Majlis Markaz-e-Siyasee Party,  959 
Andhra Pradesh,Secundrabad,DR.N.S.UDAY KUMAR,Prem Janata Dal,  928 
Andhra Pradesh,Secundrabad,S. LAKSHMAN RAO,Independent,  886 
Andhra Pradesh,Secundrabad,DR.MALATHI LATHA EPPA,Jantantra Party,  873 
Andhra Pradesh,Secundrabad,ABDUS SATTAR MUJAHED,Akhil Bharatiya Muslim League (Secular),  809 
Andhra Pradesh,Secundrabad,MOHD IMTIAZ HUSSAIN,Indian Union Muslim League,  786 
Andhra Pradesh,Secundrabad,ANANTH RAO GUNDEPALLY,Independent,  779 
Andhra Pradesh,Secundrabad,SHAKTHI SATYAVATHI,Pyramid Party of India,  638 
Andhra Pradesh,Secundrabad,CH. MURAHARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),  554 
Andhra Pradesh,Secundrabad,KUMAR CHOWDARY YADAV.G,Samaikyandhra Parirakshana Samithi,  547 
Andhra Pradesh,Secundrabad,KARANKOTE NARENDER,All India Forward Bloc,  474 
Andhra Pradesh,Secundrabad,SYED MADANI QUADRI,Independent,  376 
Andhra Pradesh,Secundrabad,MOHAMMED RIZWAN HUSSAIN,Independent,  370 
Andhra Pradesh,Secundrabad,MOHD ABUBAKAR PARWAIZ SIDDIQUI,Independent,  322 
Andhra Pradesh,Secundrabad,MICHAEL DANIEL OVELZ,Independent,  291 
Andhra Pradesh,Secundrabad,None of the Above,None of the Above,"  6,572 "
Andhra Pradesh,Srikakulam,RAMMOHAN NAIDU KINJARAPU,Telugu Desam,"  556,163 "
Andhra Pradesh,Srikakulam,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,"  428,591 "
Andhra Pradesh,Srikakulam,KILLI KRUPARANI,Indian National Congress,"  24,163 "
Andhra Pradesh,Srikakulam,PAIDI RAJA RAO,Jai Samaikyandhra Party,"  11,422 "
Andhra Pradesh,Srikakulam,BODDEPALLI RAJARAO,Bahujan Samaj Party,"  8,047 "
Andhra Pradesh,Srikakulam,VASUDEVA RAO BODDU,Communist Party of India (Marxist-Leninist) (Liberation),"  5,131 "
Andhra Pradesh,Srikakulam,KADIYAM JAYALAKSHMI,Pyramid Party of India,"  5,021 "
Andhra Pradesh,Srikakulam,JAIDEV INJARAPU,Aam Aadmi Party,"  2,557 "
Andhra Pradesh,Srikakulam,TOTA TEJESWARA RAO,Independent,"  2,144 "
Andhra Pradesh,Srikakulam,KINJARAPU TEJESWARA RAO,Independent,"  2,074 "
Andhra Pradesh,Srikakulam,None of the Above,None of the Above,"  6,133 "
Andhra Pradesh,Tirupati,VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party,"  580,376 "
Andhra Pradesh,Tirupati,KARUMANCHI JAYARAM,Bharatiya Janata Party,"  542,951 "
Andhra Pradesh,Tirupati,CHINTA MOHAN,Indian National Congress,"  33,333 "
Andhra Pradesh,Tirupati,KOTHAPALLI SUBRAMANYAM,Communist Party of India (Marxist),"  11,168 "
Andhra Pradesh,Tirupati,M SOLMON,Andhra Rastra Praja Samithi,"  9,816 "
Andhra Pradesh,Tirupati,NEERUGUTTA NAGESWARA,Aam Aadmi Party,"  7,280 "
Andhra Pradesh,Tirupati,"DR. U RAMACHANDRA, M.B.B.S",Bahujan Samaj Party,"  6,036 "
Andhra Pradesh,Tirupati,DEGALA SURYA NARAYANA,Pyramid Party of India,"  2,876 "
Andhra Pradesh,Tirupati,KALAVAPALLI SAHADEVAIAH,Independent,"  2,510 "
Andhra Pradesh,Tirupati,NUNE VENGAIAH,Independent,"  1,829 "
Andhra Pradesh,Tirupati,K.S. MUNIRATHNAM,Independent,"  1,696 "
Andhra Pradesh,Tirupati,SONGA RATNAMMA,Independent,"  1,645 "
Andhra Pradesh,Tirupati,KATTAMANCHI PRABHAKAR,Independent,"  1,455 "
Andhra Pradesh,Tirupati,THYDULA SUBBARAMAIAH,Independent,"  1,403 "
Andhra Pradesh,Tirupati,None of the Above,None of the Above,"  8,690 "
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS,Telugu Desam,"  592,696 "
Andhra Pradesh,Vijayawada,KONERU RAJENDRA PRASAD,Yuvajana Sramika Rythu Congress Party,"  517,834 "
Andhra Pradesh,Vijayawada,AVINASH DEVINENI,Indian National Congress,"  39,751 "
